CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTRY NAME>>,<<COUNTRY GMI
Zhaoqing City>>,<<CHN-GND001>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND001
Shanwei City>>,<<CHN-GND002>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND002
Jieyang City>>,<<CHN-GND003>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND003
Zhuhai City>>,<<CHN-GND004>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND004
Qingyuan City>>,<<CHN-GND005>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND005
Dongguan City>>,<<CHN-GND006>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND006
Huizhou City>>,<<CHN-GND007>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND007
Shenzhen City>>,<<CHN-GND008>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND008
Shaoguan City>>,<<CHN-GND009>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND009
Meizhou City>>,<<CHN-GND010>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND010
Guangzhou City>>,<<CHN-GND011>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND011
Chaozhou City>>,<<CHN-GND012>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND012
Zhongshan City>>,<<CHN-GND013>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND013
Shantou City>>,<<CHN-GND014>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND014
Yunfu City>>,<<CHN-GND015>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND015
Yangjiang City>>,<<CHN-GND016>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND016
Jiangmen City>>,<<CHN-GND017>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND017
Maoming City>>,<<CHN-GND018>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND018
Zhanjiang City>>,<<CHN-GND019>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND019
Foshan City>>,<<CHN-GND020>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND020
Heyuan City>>,<<CHN-GND021>>,<<Guangdong>>,<<CHN-GND>>,<<China>>,<<CHN>>,<<CHN-GND021
Yulin City>>,<<CHN-GNG001>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG001
Qinzhou City>>,<<CHN-GNG002>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG002
Fangchenggang City>>,<<CHN-GNG003>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG003
Wuzhou City>>,<<CHN-GNG004>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG004
Beihai City>>,<<CHN-GNG005>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG005
Hezhou City>>,<<CHN-GNG006>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG006
Guigang City>>,<<CHN-GNG007>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG007
Chongzuo City>>,<<CHN-GNG008>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG008
Nanning City>>,<<CHN-GNG009>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG009
Liuzhou City>>,<<CHN-GNG010>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG010
Laibin City>>,<<CHN-GNG011>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG011
Baise>>,<<CHN-GNG012>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG012
Hechi City>>,<<CHN-GNG013>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG013
Guilin City>>,<<CHN-GNG014>>,<<Guangxi>>,<<CHN-GNG>>,<<China>>,<<CHN>>,<<CHN-GNG014
Qiandongnan Miao Dong Nationality>>,<<CHN-GUI001>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI001
Anshun City>>,<<CHN-GUI002>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI002
Tongren region>>,<<CHN-GUI003>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI003
Zunyi City>>,<<CHN-GUI004>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI004
Buyi and Miao>>,<<CHN-GUI005>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI005
Guiyang City>>,<<CHN-GUI006>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI006
Qiannan Buyei and Miao>>,<<CHN-GUI007>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI007
Wan Town of Liupanshui City>>,<<CHN-GUI008>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI008
Bijie region>>,<<CHN-GUI009>>,<<Guizhou>>,<<CHN-GUI>>,<<China>>,<<CHN>>,<<CHN-GUI009
Changjiang Li Autonomous County>>,<<CHN-HAI001>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI001
Danzhou City>>,<<CHN-HAI002>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI002
Wenchang City>>,<<CHN-HAI003>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI003
Five Fingers Group City>>,<<CHN-HAI004>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI004
Haikou City>>,<<CHN-HAI005>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI005
Baisha Li Autonomous County>>,<<CHN-HAI006>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI006
Lingao County>>,<<CHN-HAI007>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI007
Qiongzhong Li and Miao Autonomous County>>,<<CHN-HAI008>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI008
Chengmai County>>,<<CHN-HAI009>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI009
The city of Sanya>>,<<CHN-HAI010>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI010
Tunchang County>>,<<CHN-HAI011>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI011
Oriental City>>,<<CHN-HAI012>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI012
Baoting Li and Miao Autonomous County>>,<<CHN-HAI013>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI013
Lingshui Li Autonomous County>>,<<CHN-HAI014>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI014
Ledong Li Autonomous County>>,<<CHN-HAI015>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI015
Wanning City>>,<<CHN-HAI016>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI016
Ding'an County>>,<<CHN-HAI017>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI017
Qionghai City>>,<<CHN-HAI018>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI018
Sansha City>>,<<CHN-HAI019>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI019
The Nine-dash line>>,<<CHN-HAI020>>,<<Hainan>>,<<CHN-HAI>>,<<China>>,<<CHN>>,<<CHN-HAI020
Langfang City>>,<<CHN-HEB001>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB001
Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB002
Hengshui City>>,<<CHN-HEB003>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB003
Tangshan City>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB004
Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB005
Qinhuangdao City>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB006
Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB007
Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB008
Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB009
Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB010
Cangzhou City>>,<<CHN-HEB011>>,<<Hebei>>,<<CHN-HEB>>,<<China>>,<<CHN>>,<<CHN-HEB011
Sanmenxia City>>,<<CHN-HEN001>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN001
Anyang City>>,<<CHN-HEN002>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN002
Shangqiu City>>,<<CHN-HEN003>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN003
Puyang City>>,<<CHN-HEN005>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN005
Zhumadian City>>,<<CHN-HEN006>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN006
Nanyang City>>,<<CHN-HEN007>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN007
Xinxiang City>>,<<CHN-HEN008>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN008
Pingdingshan City>>,<<CHN-HEN009>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN009
Zhoukou City>>,<<CHN-HEN010>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN010
Kaifeng City>>,<<CHN-HEN011>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN011
Hebi City>>,<<CHN-HEN012>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN012
Xinyang City>>,<<CHN-HEN013>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN013
Luoyang City>>,<<CHN-HEN014>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN014
Jiaozuo City>>,<<CHN-HEN015>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN015
Luohe City>>,<<CHN-HEN016>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN016
Xuchang City>>,<<CHN-HEN017>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN017
Zhengzhou City>>,<<CHN-HEN018>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN018
Jiyuan City>>,<<CHN-HEN019>>,<<Henan>>,<<CHN-HEN>>,<<China>>,<<CHN>>,<<CHN-HEN019
Qitaihe City>>,<<CHN-HLN001>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN001
Daqing City>>,<<CHN-HLN002>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN002
Heihe City>>,<<CHN-HLN003>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN003
Yichun City>>,<<CHN-HLN004>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN004
Harbin City>>,<<CHN-HLN005>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN005
Hegang City>>,<<CHN-HLN006>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN006
Jixi City>>,<<CHN-HLN007>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN007
Qigihar City>>,<<CHN-HLN008>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN008
Suihua City>>,<<CHN-HLN009>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN009
Greater Khingan Range region>>,<<CHN-HLN010>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN010
Shuangyashan City>>,<<CHN-HLN011>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN011
Jiamusi City>>,<<CHN-HLN012>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN012
Mudanjiang City>>,<<CHN-HLN013>>,<<Heilongjiang>>,<<CHN-HLN>>,<<China>>,<<CHN>>,<<CHN-HLN013
Shennongjia>>,<<CHN-HUB000>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB000
Xiaogan City>>,<<CHN-HUB001>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB001
Wuhan City>>,<<CHN-HUB002>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB002
Xiantao>>,<<CHN-HUB003>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB003
Jingzhou City>>,<<CHN-HUB004>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB004
Jingmen City>>,<<CHN-HUB005>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB005
Tianmen>>,<<CHN-HUB006>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB006
Enshi Tujia and Miao Autonomous Prefecture>>,<<CHN-HUB007>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB007
Xiangyang City>>,<<CHN-HUB008>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB008
Huanggang City>>,<<CHN-HUB009>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB009
Ezhou City>>,<<CHN-HUB010>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB010
Shiyan City>>,<<CHN-HUB011>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB011
Yichang City>>,<<CHN-HUB012>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB012
Xianning City>>,<<CHN-HUB013>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB013
Suizhou City>>,<<CHN-HUB014>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB014
Huangshi City>>,<<CHN-HUB015>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB015
Qianjiang City>>,<<CHN-HUB016>>,<<Hubei>>,<<CHN-HUB>>,<<China>>,<<CHN>>,<<CHN-HUB016
Yueyang City>>,<<CHN-HUN001>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN001
Hengyang City>>,<<CHN-HUN002>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN002
Huaihua City>>,<<CHN-HUN003>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN003
Xiangtan City>>,<<CHN-HUN004>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN004
Zhuzhou City>>,<<CHN-HUN005>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN005
Shaoyang City>>,<<CHN-HUN006>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN006
Chenzhou City>>,<<CHN-HUN007>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN007
Loudi City>>,<<CHN-HUN008>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN008
Xiangxi Tujia and Miao Autonomous Prefecture>>,<<CHN-HUN009>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN009
Zhangjiajie City>>,<<CHN-HUN010>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN010
Yongzhou City>>,<<CHN-HUN011>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN011
Yiyang City>>,<<CHN-HUN012>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN012
Changde City>>,<<CHN-HUN013>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN013
Changsha City>>,<<CHN-HUN014>>,<<Hunan>>,<<CHN-HUN>>,<<China>>,<<CHN>>,<<CHN-HUN014
Tonghua City>>,<<CHN-JIL001>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL001
Siping City>>,<<CHN-JIL002>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL002
Changchun City>>,<<CHN-JIL003>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL003
Baishan City>>,<<CHN-JIL004>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL004
Liaoyuan City>>,<<CHN-JIL005>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL005
Yanbian Korean Autonomous Prefecture>>,<<CHN-JIL006>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL006
Songyuan City>>,<<CHN-JIL007>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL007
Baicheng City>>,<<CHN-JIL008>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL008
Jilin City>>,<<CHN-JIL009>>,<<Jilin>>,<<CHN-JIL>>,<<China>>,<<CHN>>,<<CHN-JIL009
Ganzhou City>>,<<CHN-JNG001>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG001
Nanchang City>>,<<CHN-JNG002>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG002
Yingtan City>>,<<CHN-JNG003>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG003
Pingxiang City>>,<<CHN-JNG004>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG004
Xinyu City>>,<<CHN-JNG005>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG005
Shangrao City>>,<<CHN-JNG006>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG006
Ji'an City>>,<<CHN-JNG007>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG007
Jiujiang>>,<<CHN-JNG008>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG008
Yichun City>>,<<CHN-JNG009>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG009
Jingdezhen City>>,<<CHN-JNG010>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG010
Fuzhou City>>,<<CHN-JNG011>>,<<Jiangxi>>,<<CHN-JNG>>,<<China>>,<<CHN>>,<<CHN-JNG011
Wuxi City>>,<<CHN-JNS001>>,<<Jiangsu>>,<<CHN-JNS>>,<<China>>,<<CHN>>,<<CHN-JNS001
Xuzhou City>>,<<CHN-JNS002>>,<<Jiangsu>>,<<CHN-JNS>>,<<China>>,<<CHN>>,<<CHN-JNS002
