PREFECTURE NAME>>,<<CHINESE NAME>>,<<PREFECTURE GMI
Wangjiang Xian>>,<<望江县>>,<<340827
Yi Xian>>,<<黟县>>,<<341023
Yingdong District>>,<<颍东区>>,<<341203
Fengtai Xian>>,<<凤台县>>,<<340421
Nanling Xian>>,<<南陵县>>,<<340223
Yixiu District>>,<<宜秀区>>,<<340811
Daguan District>>,<<大观区>>,<<340803
Huaishang District>>,<<淮上区>>,<<340311
Yingquan District>>,<<颍泉区>>,<<341204
Panji District>>,<<潘集区>>,<<340406
Mount pakung>>,<<八公山区>>,<<340405
Yuhui District>>,<<禹会区>>,<<340304
Yingzhou District>>,<<颍州区>>,<<341202
Langya District>>,<<琅琊区>>,<<341102
Yingjiang District>>,<<迎江区>>,<<340802
Clam mountain area>>,<<蚌山区>>,<<340303
Dragon Lake>>,<<龙子湖区>>,<<340302
Lieshan District>>,<<烈山区>>,<<340604
Yi'an District>>,<<义安区>>,<<340706 
Tongguan District>>,<<铜官区>>,<<340702
Huairou District>>,<<怀柔区>>,<<110116
Yanqing Xian>>,<<延庆县>>,<<110229
Shunyi District>>,<<顺义区>>,<<110113
Tongzhou District>>,<<通州区(北京)>>,<<110112
Changping District>>,<<昌平区>>,<<110114
Mentougou District>>,<<门头沟区>>,<<110109
Dachang Huizu Zizhixian>>,<<大厂回族自治县>>,<<131028
Shijingshan District>>,<<石景山区>>,<<110107
Xicheng District>>,<<西城区>>,<<110102
Haidian Distric>>,<<海淀区>>,<<110108
FengTai District>>,<<丰台区>>,<<110106
Fangshan District>>,<<房山区>>,<<110111
Dongcheng District>>,<<东城区>>,<<110101
Daxing District>>,<<大兴区>>,<<110115
Jianyang District>>,<<建阳区>>,<<350784
Wuyishan>>,<<武夷山市>>,<<350782
Guangze County>>,<<光泽县>>,<<350723
Shaowu City>>,<<邵武市>>,<<350781
Jiaocheng District>>,<<蕉城区>>,<<350902
Zhouning County>>,<<周宁县>>,<<350925
Pingnan County>>,<<屏南县>>,<<350923
Gutian County>>,<<古田县>>,<<350922
Jianou City>>,<<建瓯市>>,<<350783
Yanping District>>,<<延平区>>,<<350702
Shunchang County>>,<<顺昌县>>,<<350721
Jiangle Xian>>,<<将乐县>>,<<350428
Jianning Xian>>,<<建宁县>>,<<350430
Lianjiang Xian>>,<<连江县>>,<<350122
Changle City>>,<<长乐市>>,<<350182
Yong'an Shi>>,<<永安市>>,<<350481
Qingliu Xian>>,<<清流县>>,<<350423
Yongchun Xian>>,<<永春县>>,<<350525
Anxi Xian>>,<<安溪县>>,<<350524
Xinluo District>>,<<新罗区>>,<<350802
Changting County>>,<<长汀县>>,<<350821
Jimei District>>,<<集美区>>,<<350211
Xiangan District>>,<<翔安区>>,<<350213
Tongan District>>,<<同安区>>,<<350212
Haicang District>>,<<海沧区>>,<<350205
Siming District>>,<<思明区>>,<<350203
Lake District>>,<<湖里区>>,<<350206
Nanjing Xian>>,<<南靖县>>,<<350627
Zhangpu Xian>>,<<漳浦县>>,<<350623
Xiapu County>>,<<霞浦县>>,<<350921
Taining Xian>>,<<泰宁县>>,<<350429
Mingxi Xian>>,<<明溪县>>,<<350421
Datian Xian>>,<<大田县>>,<<350425
Youxi Xian>>,<<尤溪县>>,<<350426
Liancheng County>>,<<连城县>>,<<350825
Licheng>>,<<荔城区>>,<<350304
Chengxiang District>>,<<城厢区>>,<<350302
Xiuyu District>>,<<秀屿区>>,<<350305
Nanan City>>,<<南安市>>,<<350583
Zhangping City>>,<<漳平市>>,<<350881
Jinmen Xian>>,<<金门县>>,<<350527
Longhai City>>,<<龙海市>>,<<350681
Xiangcheng>>,<<芗城区>>,<<350602
Dongshan Xian>>,<<东山县>>,<<350626
Minhou Xian>>,<<闽侯县>>,<<350121
Yongtai Xian>>,<<永泰县>>,<<350125
Dehua Xian>>,<<德化县>>,<<350526
Ninghua Xian>>,<<宁化县>>,<<350424
Quangang District>>,<<泉港区>>,<<350505
Jinjiang City>>,<<晋江市>>,<<350582
Hua'an Xian>>,<<华安县>>,<<350629
Sha Xian>>,<<沙县>>,<<350427
Hui'an Xian>>,<<惠安县>>,<<350521
Changtai Xian>>,<<长泰县>>,<<350625
Longwen District>>,<<龙文区>>,<<350603
Minqing Xian>>,<<闽清县>>,<<350124
Luoyuan Xian>>,<<罗源县>>,<<350123
Cangshan District>>,<<仓山区>>,<<350104
Fuqing Shi>>,<<福清市>>,<<350181
Hanjiang District>>,<<涵江区>>,<<350303
Xianyou Xian>>,<<仙游县>>,<<350322
Luojiang District>>,<<洛江区>>,<<350504
Shishi Shi>>,<<石狮市>>,<<350581
Pony tail area>>,<<马尾区>>,<<350105
Pingtan Xian>>,<<平潭县>>,<<350128
Jinan District>>,<<晋安区>>,<<350111
Three Yuan area>>,<<三元区>>,<<350403
Meliet District>>,<<梅列区>>,<<350402
Licheng District>>,<<鲤城区>>,<<350502
Fengze District>>,<<丰泽区>>,<<350503
Drum Tower District>>,<<鼓楼区(福州)>>,<<350102
Taijiang District>>,<<台江区>>,<<350103
Jinchuan>>,<<金川区>>,<<620302
Silver district>>,<<白银区>>,<<620402
Yuzhong Xian>>,<<榆中县>>,<<620123
Gaolan Xian>>,<<皋兰县>>,<<620122
Xigu District>>,<<西固区>>,<<620104
Tranquil area>>,<<安宁区>>,<<620105
Qingcheng County>>,<<庆城县>>,<<621021
Xifeng District>>,<<西峰区>>,<<621002
Tongwei County>>,<<通渭县>>,<<621121
Stability zone>>,<<安定区>>,<<621102
Weiyuan County>>,<<渭源县>>,<<621123
Lintao County>>,<<临洮县>>,<<621124
Guanghe Xian>>,<<广河县>>,<<622924
Dongxiangzu Zizhixian>>,<<东乡族自治县>>,<<622926
Kangle Xian>>,<<康乐县>>,<<622922
Hezheng Xian>>,<<和政县>>,<<622925
Qin'an Xian>>,<<秦安县>>,<<620522
Gangu Xian>>,<<甘谷县>>,<<620523
Longxi County>>,<<陇西县>>,<<621122
Wushan Xian>>,<<武山县>>,<<620524
Zhangxian County>>,<<漳县>>,<<621125
Lintan Xian>>,<<临潭县>>,<<623021
Cooperative city>>,<<合作市>>,<<623001
Qinzhou>>,<<秦州区>>,<<620502
Xihe County>>,<<西和县>>,<<621225
Lixian County>>,<<礼县>>,<<621226
Minxian County>>,<<岷县>>,<<621126
Dangchang County>>,<<宕昌县>>,<<621223
Jiayuguan City>>,<<嘉峪关市>>,<<620201
Suzhou District>>,<<肃州区>>,<<620902
Qilihe District>>,<<七里河区>>,<<620103
Chengguan District>>,<<城关区(兰州)>>,<<620102
Linxia City>>,<<临夏市>>,<<622901
Nanxiong City>>,<<南雄市>>,<<440282
Shixing Xian>>,<<始兴县>>,<<440222
Renhua Xian>>,<<仁化县>>,<<440224
Meixian District>>,<<梅县区>>,<<441421
Jiaoling Xian>>,<<蕉岭县>>,<<441427
Meijiang District>>,<<梅江区>>,<<441402
Hingning>>,<<兴宁市>>,<<441481
Longchuan Xian>>,<<龙川县>>,<<441622
Heping Xian>>,<<和平县>>,<<441624
Lianping Xian>>,<<连平县>>,<<441623
Wengyuan Xian>>,<<翁源县>>,<<440229
Raoping County>>,<<饶平县>>,<<445122
Fengshun Xian>>,<<丰顺县>>,<<441423
Chaoan District>>,<<潮安区>>,<<445121
Jiedong District>>,<<揭东区>>,<<445221
Jiexi County>>,<<揭西县>>,<<445222
Wuhua Xian>>,<<五华县>>,<<441424
Zijin Xian>>,<<紫金县>>,<<441621
Dongyuan County>>,<<东源县>>,<<441625
Yuancheng District>>,<<源城区>>,<<441602
Jinping>>,<<金平区>>,<<440511
Haojiang District>>,<<濠江区>>,<<440512
Longhu District>>,<<龙湖区>>,<<440507
Chaoyang>>,<<潮阳区>>,<<440513
Tidal southern area>>,<<潮南区>>,<<440514
Huilai>>,<<惠来县>>,<<445224
Lufeng City>>,<<陆丰市>>,<<441581
Puning>>,<<普宁市>>,<<445281
Luhe Xian>>,<<陆河县>>,<<441523
Haifeng Xian>>,<<海丰县>>,<<441521
Huidong Xian>>,<<惠东县>>,<<441323
Huiyang District>>,<<惠阳区>>,<<441303
Longgang District>>,<<龙岗区>>,<<440307
Dapu Xian>>,<<大埔县>>,<<441422
City Proper>>,<<城区(汕尾)>>,<<441502
Pingyuan Xian>>,<<平远县>>,<<441426
Nan'ao Xian>>,<<南澳县>>,<<440523
Rongcheng District>>,<<榕城区>>,<<445202
Xiangqiao District>>,<<湘桥区>>,<<445102
Chenghai>>,<<澄海区>>,<<440515
Luohu District>>,<<罗湖区>>,<<440303
Futian District>>,<<福田区>>,<<440304
Yantian District>>,<<盐田区>>,<<440308
Ruyuan Yaozu Zizhixian>>,<<乳源瑶族自治县>>,<<440232
Yangshan Xian>>,<<阳山县>>,<<441823
Lianzhou City>>,<<连州市>>,<<441882
Lianshan Zhuangzu Yaozu Zizhixian>>,<<连山壮族瑶族自治县>>,<<441825
Liannan Yaozu Zizhixian>>,<<连南瑶族自治县>>,<<441826
Huaiji Xian>>,<<怀集县>>,<<441224
Guangning Xian>>,<<广宁县>>,<<441223
Deqing Xian>>,<<德庆县>>,<<441226
High area>>,<<高要区>>,<<441283
Fengkai Xian>>,<<封开县>>,<<441225
Pengjiang District>>,<<蓬江区>>,<<440703
Smart district>>,<<高明区>>,<<440608
Xinxing County>>,<<新兴县>>,<<445321
Yunan area>>,<<云安区>>,<<445323
Yunan County>>,<<郁南县>>,<<445322
Luoding City>>,<<罗定市>>,<<445381
The Bay Area>>,<<金湾区>>,<<440404
Doumen District>>,<<斗门区>>,<<440403
Xinhui District>>,<<新会区>>,<<440705
Taishan>>,<<台山市>>,<<440781
Kaiping>>,<<开平市>>,<<440783
Enping City>>,<<恩平市>>,<<440785
Yangdong District>>,<<阳东区>>,<<441723
Yangchun City>>,<<阳春市>>,<<441781
Xinyi City>>,<<信宜市>>,<<440983
Gaozhou>>,<<高州市>>,<<440981
Huazhou City>>,<<化州市>>,<<440982
Jiangcheng District>>,<<江城区>>,<<441702
Wuchuan City>>,<<吴川市>>,<<440883
Leizhou City>>,<<雷州市>>,<<440882
Heshan>>,<<鹤山市>>,<<440784
Yuncheng district>>,<<云城区>>,<<445302
Suixi Xian>>,<<遂溪县>>,<<440823
Mazhang District>>,<<麻章区>>,<<440811
Lianjiang City>>,<<廉江市>>,<<440881
Chikan District>>,<<赤坎区>>,<<440802
Xiashan District>>,<<霞山区>>,<<440803
Potou District>>,<<坡头区>>,<<440804
Jianghai>>,<<江海区>>,<<440704
Yangxi Xian>>,<<阳西县>>,<<441721
Dinghu District>>,<<鼎湖区>>,<<441203
Duanzhou District>>,<<端州区>>,<<441202
Maonan District>>,<<茂南区>>,<<440902
Conghua District>>,<<从化区>>,<<440184
Huadu District>>,<<花都区>>,<<440114
Zengcheng District>>,<<增城区>>,<<440183
Panyu>>,<<番禺区>>,<<440113
Nansha District>>,<<南沙区>>,<<440115
Baiyun District>>,<<白云区(广州)>>,<<440111
Yuexiu District>>,<<越秀区>>,<<440104
Tianhe District>>,<<天河区>>,<<440106
Liwan District>>,<<荔湾区>>,<<440103
Haizhuqu District>>,<<海珠区>>,<<440105
Xing’an County>>,<<兴安县>>,<<450325
Lingchuan County>>,<<灵川县>>,<<450323
Lingui Xian>>,<<临桂县>>,<<450322
Yongfu County>>,<<永福县>>,<<450326
Yangshuo Xian>>,<<阳朔县>>,<<450321
Li Riverside County>>,<<荔浦县>>,<<450331
Nandan County>>,<<南丹县>>,<<451221
Tian’e County>>,<<天峨县>>,<<451222
Zhaoping County>>,<<昭平县>>,<<451121
Pingle County>>,<<平乐县>>,<<450330
Mengshan County>>,<<蒙山县>>,<<450423
Yao Autonomous County of Jinxiu>>,<<金秀瑶族自治县>>,<<451324
Pingnan County>>,<<平南县>>,<<450821
Jinchengjiang District>>,<<金城江区>>,<<451202
Donglan County>>,<<东兰县>>,<<451224
Fengshan County>>,<<凤山县>>,<<451223
Leye County>>,<<乐业县>>,<<451028
Tianlin County>>,<<田林县>>,<<451029
Multinational Autonomous County of Longlin>>,<<隆林各族自治县>>,<<451031
Xilin County>>,<<西林县>>,<<451030
Tengxian County>>,<<藤县>>,<<450422
Xingbin District>>,<<兴宾区>>,<<451302
Xincheng County>>,<<忻城县>>,<<451321
Yao Autonomous County of Du’an>>,<<都安瑶族自治县>>,<<451228
Mashan County>>,<<马山县>>,<<450124
Tiandong County>>,<<田东县>>,<<451022
Bama Yao Autonomous County>>,<<巴马瑶族自治县>>,<<451227
Tianyang County>>,<<田阳县>>,<<451021
Youjiang District>>,<<右江区>>,<<451002
Binyang County>>,<<宾阳县>>,<<450126
Qintang District>>,<<覃塘区>>,<<450804
Wuming Xian>>,<<武鸣县>>,<<450122
XiXiangTang District>>,<<西乡塘区>>,<<450107
Long’an County>>,<<隆安县>>,<<450123
Tiandeng County>>,<<天等县>>,<<451425
Pingguo County>>,<<平果县>>,<<451023
Jingxi County>>,<<靖西县>>,<<451025
Debao County>>,<<德保县>>,<<451024
Napo County>>,<<那坡县>>,<<451026
Lingshan County>>,<<灵山县>>,<<450721
Hengxian County>>,<<横县>>,<<450127
Yongning District>>,<<邕宁区>>,<<450109
LIANG Qing District>>,<<良庆区>>,<<450108
South of the Yangtze River>>,<<江南区>>,<<450105
Shangsi County>>,<<上思县>>,<<450621
Fusui County>>,<<扶绥县>>,<<451421
Jiangzhou>>,<<江州区>>,<<451402
Ningming County>>,<<宁明县>>,<<451422
Longzhou County>>,<<龙州县>>,<<451423
Pubei County>>,<<浦北县>>,<<450722
Qinnan District>>,<<钦南区>>,<<450702
Fangcheng District>>,<<防城区>>,<<450603
Qinbei District>>,<<钦北区>>,<<450703
Dongxing City>>,<<东兴市>>,<<450681
Pingxiang City>>,<<凭祥市>>,<<451481
Haicheng District>>,<<海城区>>,<<450502
Liucheng Xian>>,<<柳城县>>,<<450222
Yizhou City>>,<<宜州市>>,<<451281
Heshan City>>,<<合山市>>,<<451381
Dahua Yao Autonomous County>>,<<大化瑶族自治县>>,<<451229
Daxin County>>,<<大新县>>,<<451424
Port area>>,<<港口区>>,<<450602
Diecai District>>,<<叠彩区>>,<<450303
Xiufeng District>>,<<秀峰区>>,<<450302
Miao Autonomous County of Rongshui>>,<<融水苗族自治县>>,<<450225
Huanjiang Maonan Autonomous County>>,<<环江毛南族自治县>>,<<451226
Lingyun County>>,<<凌云县>>,<<451027
Liujiang Xian>>,<<柳江县>>,<<450221
Shanglin County>>,<<上林县>>,<<450125
Gangnan District>>,<<港南区>>,<<450803
Qingxiu District>>,<<青秀区>>,<<450103
Yinhai District>>,<<银海区>>,<<450503
Luocheng mulamzuzizhixian>>,<<罗城仫佬族自治县>>,<<451225
Xiangzhou County>>,<<象州县>>,<<451322
Wuxuan County>>,<<武宣县>>,<<451323
Gangbei District>>,<<港北区>>,<<450802
Industrial county>>,<<兴业县>>,<<450924
Rong’an County>>,<<融安县>>,<<450224
Luzhai County>>,<<鹿寨县>>,<<450223
Liu North District>>,<<柳北区>>,<<450205
Xingning District>>,<<兴宁区>>,<<450102
Yuzhou>>,<<玉州区>>,<<450902
Liunan District>>,<<柳南区>>,<<450204
Guiping City>>,<<桂平市>>,<<450881
City District>>,<<城中区(柳州)>>,<<450202
Yufeng District>>,<<鱼峰区>>,<<450203
Xiangshan District>>,<<象山区>>,<<450304
Seven Star District>>,<<七星区>>,<<450305
Yanshan District>>,<<雁山区>>,<<450311
Changzhou District>>,<<长洲区>>,<<450405
Dejiang Xian>>,<<德江县>>,<<522227
Suiyang County>>,<<绥阳县>>,<<520323
Jiangkou Xian>>,<<江口县>>,<<522222
Sinan Xian>>,<<思南县>>,<<522225
Shiqian Xian>>,<<石阡县>>,<<522224
Fenggang County>>,<<凤冈县>>,<<520327
Meitan County>>,<<湄潭县>>,<<520328
Bozhou District>>,<<播州区>>,<<520321
Weng'an Xian>>,<<瓮安县>>,<<522725
Kaiyang County>>,<<开阳县>>,<<520121
Huichuan District>>,<<汇川区>>,<<520303
Honghuagang District>>,<<红花岗区>>,<<520302
Qianxi Xian>>,<<黔西县>>,<<522423
Hezhang Xian>>,<<赫章县>>,<<522428
Shibing Xian>>,<<施秉县>>,<<522623
Taijiang Xian>>,<<台江县>>,<<522630
Kaili City>>,<<凯里市>>,<<522601
Huangping Xian>>,<<黄平县>>,<<522622
Fuquan City>>,<<福泉市>>,<<522702
Longli Xian>>,<<龙里县>>,<<522730
Guiding Xian>>,<<贵定县>>,<<522723
Xifeng County>>,<<息烽县>>,<<520122
Xiuwen County>>,<<修文县>>,<<520123
Qingzhen City>>,<<清镇市>>,<<520181
Zhijin Xian>>,<<织金县>>,<<522425
Nayong Xian>>,<<纳雍县>>,<<522426
Shuicheng County>>,<<水城县>>,<<520221
Bouyei-Miao Autonomous County of Ziyun>>,<<紫云苗族布依族自治县>>,<<520425
Bouyei-Miao Autonomous County of Zhenning>>,<<镇宁布依族苗族自治县>>,<<520423
Xixiu District>>,<<西秀区>>,<<520402
Luzhi Tequ>>,<<六枝特区>>,<<520203
Guanling Buyi and Miao Autonomous County>>,<<关岭布依族苗族自治县>>,<<520424
Qinglong Xian>>,<<晴隆县>>,<<522324
Pu'an Xian>>,<<普安县>>,<<522323
Xingren Xian>>,<<兴仁县>>,<<522322
Jianhe Xian>>,<<剑河县>>,<<522629
Baiyun District>>,<<白云区>>,<<520113
Panxian County>>,<<盘县>>,<<520222
Plain area>>,<<平坝区>>,<<520421
Sandu Shuizu Zizhixian>>,<<三都水族自治县>>,<<522732
Duyun City>>,<<都匀市>>,<<522701
Changshun Xian>>,<<长顺县>>,<<522729
Zhenfeng Xian>>,<<贞丰县>>,<<522325
Yunyan District>>,<<云岩区>>,<<520103
Rongjiang Xian>>,<<榕江县>>,<<522632
Huishui Xian>>,<<惠水县>>,<<522731
Leishan Xian>>,<<雷山县>>,<<522634
Majiang Xian>>,<<麻江县>>,<<522635
Puding County>>,<<普定县>>,<<520422
Danzhai Xian>>,<<丹寨县>>,<<522636
Nanming District>>,<<南明区>>,<<520102
Qiongshan District>>,<<琼山区>>,<<460107
Ding’an County>>,<<定安县>>,<<469021
Tunchang County>>,<<屯昌县>>,<<469022
Danzhou City>>,<<儋州市>>,<<469003
Qiongzhong Li and Miao Autonomous County>>,<<琼中黎族苗族自治县>>,<<469030
Changjiang Li Autonomous County>>,<<昌江黎族自治县>>,<<469026
Qionghai City>>,<<琼海市>>,<<469002
Wanning City>>,<<万宁市>>,<<469006
Lingshui Li Autonomous County>>,<<陵水黎族自治县>>,<<469028
Baoting Li and Miao Autonomous County>>,<<保亭黎族苗族自治县>>,<<469029
Ledong Li Autonomous County>>,<<乐东黎族自治县>>,<<469027
Baisha Li Autonomous County>>,<<白沙黎族自治县>>,<<469025
The city of Sanya>>,<<三亚市>>,<<460201
Lingao County>>,<<临高县>>,<<469024
Oriental City>>,<<东方市>>,<<469007
Five Fingers Group City>>,<<五指山市>>,<<469001
Weichang Manchu Autonomous County of Mongolia>>,<<围场满族蒙古族自治县>>,<<130828
Kangbao County>>,<<康保县>>,<<130723
Longhua County>>,<<隆化县>>,<<130825
Chengde Xian>>,<<承德县>>,<<130821
Guyuan County>>,<<沽源县>>,<<130724
Zhangbei County>>,<<张北县>>,<<130722
Shangyi County>>,<<尚义县>>,<<130725
Kuancheng Manchu Autonomous County>>,<<宽城满族自治县>>,<<130827
Shuangqiao District>>,<<双桥区>>,<<130802
Shuangluan District>>,<<双滦区>>,<<130803
Chongli District>>,<<崇礼区>>,<<130733
Xuanhua County>>,<<宣化县>>,<<130721
Bridge West>>,<<桥西区(张家口)>>,<<130703
Qiaodong District>>,<<桥东区(张家口)>>,<<130702
Wanquan District>>,<<万全区>>,<<130729
Huai'an County>>,<<怀安县>>,<<130728
Funing District>>,<<抚宁区>>,<<130323
Qinglong Manzu Zizhixian>>,<<青龙满族自治县>>,<<130321
Qian'an City>>,<<迁安市>>,<<130283
Qianxi Xian>>,<<迁西县>>,<<130227
Yuxian>>,<<蔚县>>,<<130726
Laiyuan County>>,<<涞源县>>,<<130630
Leting Xian>>,<<乐亭县>>,<<130225
Gaobeidian City>>,<<高碑店市>>,<<130684
Xiongxian County>>,<<雄县>>,<<130638
Rongcheng County>>,<<容城县>>,<<130629
Anxin County>>,<<安新县>>,<<130632
Yixian County>>,<<易县>>,<<130633
Dingxing County>>,<<定兴县>>,<<130626
Xushui District>>,<<徐水区>>,<<130625
Mancheng District>>,<<满城区>>,<<130621
Shunping County>>,<<顺平县>>,<<130636
Fuping County>>,<<阜平县>>,<<130624
Cangxian County>>,<<沧县>>,<<130921
Hejian City>>,<<河间市>>,<<130984
Xianxian County>>,<<献县>>,<<130929
Lixian County>>,<<蠡县>>,<<130635
Gaoyang County>>,<<高阳县>>,<<130628
Qingyuan District>>,<<清苑区>>,<<130622
Boye County>>,<<博野县>>,<<130637
Anguo City>>,<<安国市>>,<<130683
Dingzhou City>>,<<定州市>>,<<130682
Shenze County>>,<<深泽县>>,<<130128
Wuji County>>,<<无极县>>,<<130130
Quyang County>>,<<曲阳县>>,<<130634
Tangxian County>>,<<唐县>>,<<130627
Xingtang County>>,<<行唐县>>,<<130125
Lingshou County>>,<<灵寿县>>,<<130126
Zhengding Xian>>,<<正定县>>,<<130123
Pingshan County>>,<<平山县>>,<<130131
Luquan District>>,<<鹿泉区>>,<<130185
Jingxing Xian>>,<<井陉县>>,<<130121
Jingxing mining area>>,<<井陉矿区>>,<<130107
Haixing County>>,<<海兴县>>,<<130924
Yanshan County>>,<<盐山县>>,<<130925
Dongguang County>>,<<东光县>>,<<130923
Nanpi County>>,<<南皮县>>,<<130927
Fucheng County>>,<<阜城县>>,<<131128
Shenzhou City>>,<<深州市>>,<<131182
Wuqiang County>>,<<武强县>>,<<131123
Wuyi County>>,<<武邑县>>,<<131122
Taocheng District>>,<<桃城区>>,<<131102
Jizhou District>>,<<冀州区>>,<<131181
Xinji City>>,<<辛集市>>,<<130181
Ningjin County>>,<<宁晋县>>,<<130528
Xinhe County>>,<<新河县>>,<<130530
Longyao County>>,<<隆尧县>>,<<130525
Julu County>>,<<巨鹿县>>,<<130529
Gaocheng District>>,<<藁城区>>,<<130182
Jinzhou City>>,<<晋州市>>,<<130183
Zhaoxian County>>,<<赵县>>,<<130133
Luancheng District>>,<<栾城区>>,<<130124
Yuanshi County>>,<<元氏县>>,<<130132
Gaoyi County>>,<<高邑县>>,<<130127
Zanhuang County>>,<<赞皇县>>,<<130129
Lincheng County>>,<<临城县>>,<<130522
Neiqiu County>>,<<内丘县>>,<<130523
Xingtai County>>,<<邢台县>>,<<130521
Zaoqiang County>>,<<枣强县>>,<<131121
Nangong City>>,<<南宫市>>,<<130581
Qinhe County>>,<<清河县>>,<<130534
Weixian County>>,<<威县>>,<<130533
Linxi County>>,<<临西县>>,<<130535
Qiuxian>>,<<邱县>>,<<130430
Quzhou County>>,<<曲周县>>,<<130435
Renxian County>>,<<任县>>,<<130526
Pingxiang County>>,<<平乡县>>,<<130532
Nanhe County>>,<<南和县>>,<<130527
Qiaodong District>>,<<桥东区(邢台)>>,<<130502
Shahe City>>,<<沙河市>>,<<130582
Yongnian County>>,<<永年县>>,<<130429
Wu'an Shi>>,<<武安市>>,<<130481
Daming County>>,<<大名县>>,<<130425
Guangping County>>,<<广平县>>,<<130432
Cheng’an County>>,<<成安县>>,<<130424
Weixian County>>,<<魏县>>,<<130434
Feixiang County>>,<<肥乡县>>,<<130428
Linzhang County>>,<<临漳县>>,<<130423
Cixian County>>,<<磁县>>,<<130427
Shexian County>>,<<涉县>>,<<130426
Lulong Xian>>,<<卢龙县>>,<<130324
Renqiu City>>,<<任丘市>>,<<130982
Anping County>>,<<安平县>>,<<131125
Xinle City>>,<<新乐市>>,<<130184
Guantao County>>,<<馆陶县>>,<<130433
Handan Xian>>,<<邯郸县>>,<<130421
Shanhaiguan>>,<<山海关区>>,<<130303
waterfront area>>,<<海港区>>,<<130302
Luan Xian>>,<<滦县>>,<<130223
Yangyuan County>>,<<阳原县>>,<<130727
Show area>>,<<竞秀区>>,<<130602
Wangdu County>>,<<望都县>>,<<130631
Hui Autonomous County of Mengcun>>,<<孟村回族自治县>>,<<130930
Botou City>>,<<泊头市>>,<<130981
Suning County>>,<<肃宁县>>,<<130926
Xinhua District>>,<<新华区(石家庄)>>,<<130105
Baixiang County>>,<<柏乡县>>,<<130524
Jize County>>,<<鸡泽县>>,<<130431
Changli Xian>>,<<昌黎县>>,<<130322
Kaiping District>>,<<开平区>>,<<130205
Road North>>,<<路北区>>,<<130203
Raoyang County>>,<<饶阳县>>,<<131124
Congtai District>>,<<丛台区>>,<<130403
Guye District>>,<<古冶区>>,<<130204
Yuhua District>>,<<裕华区>>,<<130108
Lower Garden District>>,<<下花园区>>,<<130706
Beidaihe District>>,<<北戴河区>>,<<130304
Lunan District>>,<<路南区>>,<<130202
Canal Zone>>,<<运河区>>,<<130903
Xinhua District>>,<<新华区(沧州)>>,<<130902
Peak peak mining area>>,<<峰峰矿区>>,<<130406
Guangzong County>>,<<广宗县>>,<<130531
Renewal area>>,<<复兴区>>,<<130404
Bridge West>>,<<桥西区(邢台)>>,<<130503
Long'an District>>,<<龙安区>>,<<410506
Hualong District>>,<<华龙区>>,<<410902
Hua Xian>>,<<滑县>>,<<410526
Yanjin Xian>>,<<延津县>>,<<410726
Huixian Shi>>,<<辉县市>>,<<410782
Weihui Shi>>,<<卫辉市>>,<<410781
Zhongmou Xian>>,<<中牟县>>,<<410122
Yuanyang Xian>>,<<原阳县>>,<<410725
Jinshui District>>,<<金水区>>,<<410105
Guancheng Hui District>>,<<管城回族区>>,<<410104
Two seven area>>,<<二七区>>,<<410103
Central Plains region>>,<<中原区>>,<<410102
