CITY NAME>>,<<CHINESE NAME>>,<<CITY KEY
El Porvenir>>,<<埃尔波维尼尔>>,<<PAN006
Colon>>,<<科隆>>,<<PAN007
Panama>>,<<巴拿马>>,<<PAN008
Penonome>>,<<佩诺诺梅>>,<<PAN009
Esmeraldas>>,<<埃斯梅拉达斯>>,<<ECU018
San Andres>>,<<圣安德烈斯>>,<<COL003
Roatan>>,<<和尼加拉瓜>>,<<HND001
Trujillo>>,<<特鲁希略>>,<<HND002
La Ceiba>>,<<拉塞瓦>>,<<HND003
Puerto Lempira>>,<<波伦皮拉>>,<<HND004
Juticalpa>>,<<胡蒂尔卡帕>>,<<HND005
Bluefields>>,<<布卢菲尔兹>>,<<NIC002
San Francisco Gotera>>,<<旧金山戈特拉>>,<<SLV001
Nacaome>>,<<纳考梅>>,<<HND006
San Miguel>>,<<圣米格尔>>,<<SLV002
Usulutan>>,<<乌苏卢坦>>,<<SLV003
La Union>>,<<拉联盟>>,<<SLV004
Choluteca>>,<<乔卢特卡>>,<<HND007
Cojutepeque>>,<<科胡特佩克>>,<<SLV005
Santa Ana>>,<<圣安娜>>,<<SLV006
Ahuachapan>>,<<阿瓦查潘>>,<<SLV007
Sensuntepeque>>,<<森孙特佩克>>,<<SLV008
Sonsonate>>,<<松索纳特>>,<<SLV009
San Salvador>>,<<圣萨尔瓦多>>,<<SLV010
Nueva San Salvador>>,<<新圣萨尔瓦多>>,<<SLV011
San Vicente>>,<<圣维森特>>,<<SLV012
Zacatecoluca>>,<<扎卡约鲁东元>>,<<SLV013
Punta Gorda>>,<<蓬塔戈尔达>>,<<BLZ001
Puerto Barrios>>,<<巴里奥斯港>>,<<GTM017
Zacapa>>,<<萨卡帕>>,<<GTM018
Chiquimula>>,<<奇基穆拉>>,<<GTM019
Santa Rosa>>,<<圣罗莎>>,<<HND008
Jalapa>>,<<哈拉帕>>,<<GTM020
Nueva Ocotepeque>>,<<努埃瓦奥科特佩克>>,<<HND009
Jutiapa>>,<<胡蒂亚帕>>,<<GTM021
Chalatenango>>,<<查拉特南戈>>,<<SLV014
San Pedro Sula>>,<<圣佩德罗苏拉>>,<<HND010
Yoro>>,<<约罗>>,<<HND011
Santa Barbara>>,<<圣芭芭拉>>,<<HND012
Gracias>>,<<格拉西亚斯>>,<<HND013
Comayagua>>,<<科马亚瓜>>,<<HND014
La Esperanza>>,<<拉埃斯佩兰萨>>,<<HND015
La Paz>>,<<拉巴斯>>,<<HND016
Tegucigalpa>>,<<特古西加尔巴>>,<<HND017
Chinandega>>,<<奇南德加>>,<<NIC003
Boaco>>,<<博阿科>>,<<NIC004
Leon>>,<<莱昂>>,<<NIC005
Managua>>,<<马那瓜>>,<<NIC006
Juigalpa>>,<<惠加尔帕>>,<<NIC007
Masaya>>,<<马萨亚>>,<<NIC008
Granada>>,<<格拉纳达>>,<<NIC009
Jinotepe>>,<<希诺特佩>>,<<NIC010
Rivas>>,<<里瓦斯>>,<<NIC011
Yuscaran>>,<<尤斯卡兰>>,<<HND018
Ocotal>>,<<奥科塔尔>>,<<NIC012
Somoto>>,<<索莫托>>,<<NIC013
Jinotega>>,<<希诺特加>>,<<NIC014
Esteli>>,<<艾斯>>,<<NIC015
Matagalpa>>,<<马塔加尔帕>>,<<NIC016
Merida>>,<<梅里达>>,<<MEX035
Chetumal>>,<<切图马尔>>,<<MEX036
Corozal>>,<<科罗萨尔>>,<<BLZ002
Orange Walk>>,<<奥兰治城>>,<<BLZ003
Belize>>,<<伯利兹>>,<<BLZ004
Belmopan>>,<<贝尔莫潘>>,<<BLZ006
Stann Creek Town>>,<<珀拉什奇亚镇>>,<<BLZ007
Flores>>,<<弗洛雷斯>>,<<GTM022
Port-De-Paix>>,<<和平港>>,<<HTI001
Monte Cristi>>,<<蒙特Cristi>>,<<DOM001
Puerto Plata>>,<<波多黎各Plata>>,<<DOM002
Cap-Haitien>>,<<北部城市海地角>>,<<HTI002
Santa Marta>>,<<圣玛尔塔>>,<<COL004
Camaguey>>,<<卡马圭>>,<<CUB007
Victoria De Las Tunas>>,<<维多利亚德拉斯图纳斯>>,<<CUB008
Holguin>>,<<奥尔金市如是说>>,<<CUB009
Manzanillo>>,<<曼萨尼约>>,<<CUB010
Guantanamo>>,<<关塔那摩>>,<<CUB011
Santiago De Cuba>>,<<古巴圣地亚哥>>,<<CUB012
Jeremie>>,<<杰雷米>>,<<HTI003
Les Cayes>>,<<莱凯>>,<<HTI004
Falmouth>>,<<法尔茅斯>>,<<JAM001
Montego Bay>>,<<蒙特哥湾>>,<<JAM002
Lucea>>,<<卢西>>,<<JAM003
Savanna La Mar>>,<<滨海萨凡纳>>,<<JAM004
Mandeville>>,<<曼德维尔>>,<<JAM005
Black River>>,<<布莱克河>>,<<JAM006
St. Anns Bay>>,<<圣安娜湾>>,<<JAM008
Port Maria>>,<<玛丽亚港>>,<<JAM009
Port Antonio>>,<<安东尼奥港>>,<<JAM010
Spanish Town>>,<<西班牙小镇>>,<<JAM011
Kingston>>,<<金斯敦>>,<<JAM013
Port Morant>>,<<港莫兰特>>,<<JAM014
Fort-Liberte>>,<<自由堡>>,<<HTI005
Dajabon>>,<<达哈翁>>,<<DOM003
Gonaives>>,<<戈纳伊夫>>,<<HTI006
Hinche>>,<<安什>>,<<HTI007
Elias Pina>>,<<伊莱亚斯碧娜>>,<<DOM004
Port-au-Prince>>,<<太子港>>,<<HTI008
Jimani>>,<<希马尼>>,<<DOM005
Jacmel>>,<<雅克梅勒>>,<<HTI009
Pedernales>>,<<佩德纳莱斯>>,<<DOM006
Sabaneta>>,<<萨瓦内塔>>,<<DOM008
Santiago>>,<<圣地亚哥>>,<<DOM009
Moca>>,<<莫卡>>,<<DOM010
Salcedo>>,<<萨尔塞多>>,<<DOM011
La Vega>>,<<拉维加>>,<<DOM012
Bonao>>,<<波纳镇>>,<<DOM013
San Juan>>,<<圣胡安>>,<<DOM014
Bani>>,<<巴尼>>,<<DOM017
Barahona>>,<<巴拉欧纳>>,<<DOM018
San Francisco De Macoris>>,<<罗德马科里斯圣弗朗西斯科>>,<<DOM021
Samana>>,<<沙门>>,<<DOM022
Cotui>>,<<科特维>>,<<DOM023
Monte Plata>>,<<蒙特普拉塔>>,<<DOM024
Santo Domingo>>,<<圣多明哥>>,<<DOM025
San Cristobal>>,<<圣克里斯托瓦尔>>,<<DOM026
Hato Mayor>>,<<马约尔>>,<<DOM027
El Seibo>>,<<萨尔瓦多西望>>,<<DOM028
Higuey>>,<<伊圭>>,<<DOM029
La Romana>>,<<拉罗马纳>>,<<DOM031
Cali>>,<<卡利>>,<<COL005
Popayan>>,<<博帕雍>>,<<COL006
Florencia>>,<<弗洛伦西亚>>,<<COL007
Pasto>>,<<帕斯托>>,<<COL008
Mocoa>>,<<莫科阿>>,<<COL009
Tulcan>>,<<图尔坎>>,<<ECU019
Ibarra>>,<<伊瓦拉>>,<<ECU020
Tunja>>,<<通哈>>,<<COL010
Manizales>>,<<马尼萨莱斯>>,<<COL011
Pereira>>,<<佩雷拉>>,<<COL012
Armenia>>,<<亚美尼亚>>,<<COL013
Villavicencio>>,<<比亚维森西奥>>,<<COL015
Neiva>>,<<内瓦>>,<<COL016
Bogota>>,<<波哥大>>,<<COL017
Barranquilla>>,<<巴兰基亚>>,<<COL018
Valledupar>>,<<巴耶杜帕尔>>,<<COL019
Cartagena>>,<<卡塔赫纳>>,<<COL020
Sincelejo>>,<<辛塞莱霍>>,<<COL021
Monteria>>,<<蒙特里亚>>,<<COL022
La Palma>>,<<拉帕尔玛>>,<<PAN010
Medellin>>,<<麦德林>>,<<COL023
Quibdo>>,<<基布多>>,<<COL024
Maracaibo>>,<<马拉开波>>,<<VEN002
Trujillo>>,<<特鲁希略>>,<<VEN003
Merida>>,<<梅里达>>,<<VEN004
Cucuta>>,<<库库塔>>,<<COL025
San Cristobal>>,<<圣克里斯托瓦尔>>,<<VEN005
Bucaramanga>>,<<布卡拉曼加>>,<<COL026
Arauca>>,<<阿劳卡>>,<<COL027
Puerto Ayacucho>>,<<波多黎各阿亚库乔>>,<<VEN006
San Felipe>>,<<圣费利佩·>>,<<VEN007
Maracay>>,<<马拉凯>>,<<VEN008
Valencia>>,<<瓦伦西亚>>,<<VEN009
Barquisimeto>>,<<巴基西梅托>>,<<VEN010
San Carlos>>,<<圣卡洛斯>>,<<VEN011
Guanare>>,<<瓜纳雷>>,<<VEN012
Barinas>>,<<巴里纳斯>>,<<VEN013
Yopal>>,<<约帕尔>>,<<COL028
Puerto Inirida>>,<<伊尼里达港>>,<<COL029
Mitu>>,<<米图>>,<<COL031
Toronto>>,<<多伦多>>,<<CAN014
Buffalo>>,<<布法罗>>,<<USA048
Detroit>>,<<底特律>>,<<USA049
Cleveland>>,<<克利夫兰>>,<<USA050
Pittsburgh>>,<<匹兹堡>>,<<USA051
Columbus>>,<<哥伦布>>,<<USA052
Nassau>>,<<拿索>>,<<BHS001
Montgomery>>,<<蒙哥马利>>,<<USA054
Tallahassee>>,<<塔拉哈西>>,<<USA055
Jacksonville>>,<<杰克逊维尔>>,<<USA056
Tampa>>,<<坦帕>>,<<USA057
Miami>>,<<迈阿密>>,<<USA058
Matanzas>>,<<萨斯>>,<<CUB013
Havana>>,<<哈瓦那>>,<<CUB014
Milwaukee>>,<<密尔沃基>>,<<USA059
Madison>>,<<麦迪逊>>,<<USA060
Lansing>>,<<兰辛>>,<<USA061
Indianapolis>>,<<印第安纳波利斯>>,<<USA063
Springfield>>,<<斯普林菲尔德>>,<<USA064
Cincinnati>>,<<辛辛那提>>,<<USA065
Frankfort>>,<<法兰克福>>,<<USA066
Nashville>>,<<纳什维尔>>,<<USA067
Charleston>>,<<查尔斯顿>>,<<USA068
Charlotte>>,<<夏洛特>>,<<USA069
Columbia>>,<<哥伦比亚>>,<<USA070
Atlanta>>,<<亚特兰大>>,<<USA071
Baltimore>>,<<巴尔的摩>>,<<USA072
Dover>>,<<多佛>>,<<USA073
Annapolis>>,<<安纳波利斯>>,<<USA074
Washington D.C.>>,<<华盛顿特区>>,<<USA075
Richmond>>,<<里士满>>,<<USA076
Norfolk>>,<<诺福克>>,<<USA077
Raleigh>>,<<罗利>>,<<USA078
Brooklyn>>,<<布鲁克林>>,<<USA079
Chester>>,<<切斯特>>,<<USA080
Rochester>>,<<罗切斯特>>,<<USA081
Albany>>,<<奥尔巴尼>>,<<USA082
Newark>>,<<纽瓦克>>,<<USA083
New York>>,<<纽约>>,<<USA084
Harrisburg>>,<<哈里斯堡>>,<<USA085
Trenton>>,<<特伦顿>>,<<USA086
Philadelphia>>,<<费城>>,<<USA087
Augusta>>,<<奥古斯塔>>,<<USA088
Montpelier>>,<<蒙彼利埃>>,<<USA089
Concord>>,<<康科德>>,<<USA090
Boston>>,<<波士顿>>,<<USA091
Providence>>,<<普罗维登斯>>,<<USA092
Hartford>>,<<哈特福德>>,<<USA093
Caracas>>,<<加拉加斯>>,<<VEN014
Los Teques>>,<<洛斯特克斯>>,<<VEN015
Barcelona>>,<<巴塞罗那>>,<<VEN016
San Juan De Los Morros>>,<<圣胡安德莫罗斯>>,<<VEN017
Ciudad Bolivar>>,<<玻利瓦尔城>>,<<VEN018
San Fernado de Apure>>,<<圣亚马孙催>>,<<VEN019
Puerto Carreno>>,<<卡雷尼奥港>>,<<COL032
Boa Vista>>,<<博阿维斯塔>>,<<BRA029
Puerto La Cruz>>,<<红十字港>>,<<VEN020
La Asuncion>>,<<拉亚松森>>,<<VEN021
Cumana>>,<<库马纳>>,<<VEN022
Maturin>>,<<马图林>>,<<VEN023
Tucupita>>,<<土库比塔>>,<<VEN024
Georgetown>>,<<乔治城>>,<<GUY001
Nieuw Nickerie>>,<<新尼克里>>,<<SUR001
Totness>>,<<托特尼斯>>,<<SUR002
San Juan>>,<<圣胡安>>,<<PRI001
The Valley>>,<<硅谷>>,<<AIA001
Mayaguez>>,<<马亚圭斯>>,<<PRI002
Ponce>>,<<庞塞>>,<<PRI003
Plymouth>>,<<普利茅斯>>,<<MSR001
Basse-Terre>>,<<巴斯特尔>>,<<GLP001
Roseau>>,<<罗索>>,<<DMA001
Fort-De-France>>,<<对于法兰西堡>>,<<MTQ001
Bridgetown>>,<<布里奇顿>>,<<BRB001
Saint George's>>,<<圣乔治>>,<<GRD001
Onverwacht>>,<<翁弗瓦赫特>>,<<SUR003
Nieuw Amsterdam>>,<<新阿姆斯特丹>>,<<SUR004
Paramaribo>>,<<帕拉马里博>>,<<SUR005
Groningen>>,<<格罗宁根>>,<<SUR006
Albina>>,<<阿宾娜>>,<<SUR007
Brokopondo>>,<<布罗科蓬多>>,<<SUR008
Cayenne>>,<<卡宴>>,<<GUF001
Macapa>>,<<马卡帕>>,<<BRA030
Thule>>,<<海角>>,<<GRL001
Moosonee>>,<<穆索尼>>,<<CAN015
Saint John's>>,<<圣约翰>>,<<CAN016
Quebec>>,<<魁北克>>,<<CAN017
Montreal>>,<<蒙特利尔>>,<<CAN018
Ottawa>>,<<渥太华>>,<<CAN019
Godhavn>>,<<戈德港>>,<<GRL002
