PREFECTURE NAME>>,<<PREFECTURE GMI>>,<<CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<PREFECTURE GMI
Xinle City>>,<<130184>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130184
Luquan District>>,<<130185>>,<<Shijiazhuang City>>,<<CHN-HEB010>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130185
Lunan District>>,<<130202>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130202
Road North>>,<<130203>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130203
Guye District>>,<<130204>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130204
Kaiping District>>,<<130205>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130205
Fengnan District>>,<<130207>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130207
Fengrun District>>,<<130208>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130208
Luan Xian>>,<<130223>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130223
Luannan Xian>>,<<130224>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130224
Leting Xian>>,<<130225>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130225
Qianxi Xian>>,<<130227>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130227
Yutian Xian>>,<<130229>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130229
Caofeidian District>>,<<130230>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130230
Zunhua City>>,<<130281>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130281
Qian'an City>>,<<130283>>,<<Tangshan>>,<<CHN-HEB004>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130283
waterfront area>>,<<130302>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130302
Shanhaiguan>>,<<130303>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130303
Beidaihe District>>,<<130304>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130304
Qinglong Manzu Zizhixian>>,<<130321>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130321
Changli Xian>>,<<130322>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130322
Funing District>>,<<130323>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130323
Lulong Xian>>,<<130324>>,<<Qinhuangdao>>,<<CHN-HEB006>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130324
Hanshan>>,<<130402>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130402
Congtai District>>,<<130403>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130403
Renewal area>>,<<130404>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130404
Peak peak mining area>>,<<130406>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130406
Handan Xian>>,<<130421>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130421
Linzhang County>>,<<130423>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130423
Cheng’an County>>,<<130424>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130424
Daming County>>,<<130425>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130425
Shexian County>>,<<130426>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130426
Cixian County>>,<<130427>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130427
Feixiang County>>,<<130428>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130428
Yongnian County>>,<<130429>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130429
Qiuxian>>,<<130430>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130430
Jize County>>,<<130431>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130431
Guangping County>>,<<130432>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130432
Guantao County>>,<<130433>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130433
Weixian County>>,<<130434>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130434
Quzhou County>>,<<130435>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130435
Wu'an Shi>>,<<130481>>,<<Handan City>>,<<CHN-HEB008>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130481
Qiaodong District>>,<<130502>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130502
Bridge West>>,<<130503>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130503
Xingtai County>>,<<130521>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130521
Lincheng County>>,<<130522>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130522
Neiqiu County>>,<<130523>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130523
Baixiang County>>,<<130524>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130524
Longyao County>>,<<130525>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130525
Renxian County>>,<<130526>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130526
Nanhe County>>,<<130527>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130527
Ningjin County>>,<<130528>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130528
Julu County>>,<<130529>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130529
Xinhe County>>,<<130530>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130530
Guangzong County>>,<<130531>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130531
Pingxiang County>>,<<130532>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130532
Weixian County>>,<<130533>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130533
Qinhe County>>,<<130534>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130534
Linxi County>>,<<130535>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130535
Nangong City>>,<<130581>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130581
Shahe City>>,<<130582>>,<<Xingtai City>>,<<CHN-HEB009>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130582
Show area>>,<<130602>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130602
Lotus area>>,<<130603>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130603
Mancheng District>>,<<130621>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130621
Qingyuan District>>,<<130622>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130622
Laishui County>>,<<130623>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130623
Fuping County>>,<<130624>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130624
Xushui District>>,<<130625>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130625
Dingxing County>>,<<130626>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130626
Tangxian County>>,<<130627>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130627
Gaoyang County>>,<<130628>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130628
Rongcheng County>>,<<130629>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130629
Laiyuan County>>,<<130630>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130630
Wangdu County>>,<<130631>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130631
Anxin County>>,<<130632>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130632
Yixian County>>,<<130633>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130633
Quyang County>>,<<130634>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130634
Lixian County>>,<<130635>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130635
Shunping County>>,<<130636>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130636
Boye County>>,<<130637>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130637
Xiongxian County>>,<<130638>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130638
Zhuozhou City>>,<<130681>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130681
Dingzhou City>>,<<130682>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130682
Anguo City>>,<<130683>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130683
Gaobeidian City>>,<<130684>>,<<Baoding City>>,<<CHN-HEB002>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130684
Qiaodong District>>,<<130702>>,<<Zhangjiakou>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130702
Bridge West>>,<<130703>>,<<Zhangjiakou>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130703
Xuanhua District>>,<<130705>>,<<Zhangjiakou>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130705
Lower Garden District>>,<<130706>>,<<Zhangjiakou>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130706
Xuanhua County>>,<<130721>>,<<Zhangjiakou>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130721
Zhangbei County>>,<<130722>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130722
Kangbao County>>,<<130723>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130723
Guyuan County>>,<<130724>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130724
Shangyi County>>,<<130725>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130725
Yuxian>>,<<130726>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130726
Yangyuan County>>,<<130727>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130727
Huai'an County>>,<<130728>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130728
Wanquan District>>,<<130729>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130729
Huailai County>>,<<130730>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130730
Zhuolu County>>,<<130731>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130731
Chicheng County>>,<<130732>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130732
Chongli District>>,<<130733>>,<<Zhangjiakou City>>,<<CHN-HEB005>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130733
Shuangqiao District>>,<<130802>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130802
Shuangluan District>>,<<130803>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130803
Eagle mining area>>,<<130804>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130804
Chengde Xian>>,<<130821>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130821
Xinglong County>>,<<130822>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130822
Pingquan County>>,<<130823>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130823
Luanping County>>,<<130824>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130824
Longhua County>>,<<130825>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130825
Fengning Manchu Autonomous County>>,<<130826>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130826
Kuancheng Manchu Autonomous County>>,<<130827>>,<<Chengde City>>,<<CHN-HEB007>>,<<Hebei>>,<<CHN-HEB>>,<<Chinese>>,<<CHN>>,<<130827
