CITY NAME>>,<<CHINESE NAME>>,<<CITY GMI
Anshun City>>,<<安顺>>,<<CHN-GUI002
Tongren region>>,<<铜仁>>,<<CHN-GUI003
Zunyi City>>,<<遵义>>,<<CHN-GUI004
Buyi and Miao>>,<<黔西南布依族苗族>>,<<CHN-GUI005
Guiyang City>>,<<贵阳>>,<<CHN-GUI006
Qiannan Buyei and Miao>>,<<黔南布依族苗族>>,<<CHN-GUI007
Wan Town of Liupanshui City>>,<<六盘水>>,<<CHN-GUI008
Bijie region>>,<<毕节>>,<<CHN-GUI009
Changjiang Li Autonomous County>>,<<昌江黎族自治县>>,<<CHN-HAI001
Danzhou City>>,<<儋州>>,<<CHN-HAI002
Wenchang City>>,<<文昌>>,<<CHN-HAI003
Five Fingers Group City>>,<<五指山>>,<<CHN-HAI004
Haikou City>>,<<海口>>,<<CHN-HAI005
Baisha Li Autonomous County>>,<<白沙黎族自治县>>,<<CHN-HAI006
Lingao County>>,<<临高县>>,<<CHN-HAI007
Qiongzhong Li and Miao Autonomous County>>,<<琼中黎族苗族自治县>>,<<CHN-HAI008
Chengmai County>>,<<澄迈县>>,<<CHN-HAI009
The city of Sanya>>,<<三亚>>,<<CHN-HAI010
Tunchang County>>,<<屯昌县>>,<<CHN-HAI011
Oriental City>>,<<东方>>,<<CHN-HAI012
Baoting Li and Miao Autonomous County>>,<<保亭黎族苗族自治县>>,<<CHN-HAI013
Lingshui Li Autonomous County>>,<<陵水黎族自治县>>,<<CHN-HAI014
Ledong Li Autonomous County>>,<<乐东黎族自治县>>,<<CHN-HAI015
Wanning City>>,<<万宁>>,<<CHN-HAI016
Ding'an County>>,<<定安县>>,<<CHN-HAI017
Qionghai City>>,<<琼海>>,<<CHN-HAI018
Sansha City>>,<<三沙>>,<<CHN-HAI019
The nine-dash line>>,<<南海九段线>>,<<CHN-HAI020
Langfang City>>,<<廊坊>>,<<CHN-HEB001
Baoding City>>,<<保定>>,<<CHN-HEB002
Hengshui City>>,<<衡水>>,<<CHN-HEB003
Tangshan City>>,<<唐山>>,<<CHN-HEB004
Zhangjiakou City>>,<<张家口>>,<<CHN-HEB005
Qinhuangdao City>>,<<秦皇岛>>,<<CHN-HEB006
Chengde City>>,<<承德>>,<<CHN-HEB007
Handan City>>,<<邯郸>>,<<CHN-HEB008
Xingtai City>>,<<邢台>>,<<CHN-HEB009
Shijiazhuang City>>,<<石家庄>>,<<CHN-HEB010
Cangzhou City>>,<<沧州>>,<<CHN-HEB011
Sanmenxia City>>,<<三门峡>>,<<CHN-HEN001
Anyang City>>,<<安阳>>,<<CHN-HEN002
Shangqiu City>>,<<商丘>>,<<CHN-HEN003
Puyang City>>,<<濮阳>>,<<CHN-HEN005
Zhumadian City>>,<<驻马店>>,<<CHN-HEN006
Nanyang City>>,<<南阳>>,<<CHN-HEN007
Xinxiang City>>,<<新乡>>,<<CHN-HEN008
Pingdingshan City>>,<<平顶山>>,<<CHN-HEN009
Zhoukou City>>,<<周口>>,<<CHN-HEN010
Kaifeng City>>,<<开封>>,<<CHN-HEN011
Hebi City>>,<<鹤壁>>,<<CHN-HEN012
Xinyang City>>,<<信阳>>,<<CHN-HEN013
Luoyang City>>,<<洛阳>>,<<CHN-HEN014
Jiaozuo City>>,<<焦作>>,<<CHN-HEN015
Luohe City>>,<<漯河>>,<<CHN-HEN016
Xuchang City>>,<<许昌>>,<<CHN-HEN017
Zhengzhou City>>,<<郑州>>,<<CHN-HEN018
Jiyuan City>>,<<济源>>,<<CHN-HEN019
Qitaihe City>>,<<七台河>>,<<CHN-HLN001
Daqing City>>,<<大庆>>,<<CHN-HLN002
Heihe City>>,<<黑河>>,<<CHN-HLN003
Yichun City>>,<<伊春>>,<<CHN-HLN004
Harbin City>>,<<哈尔滨>>,<<CHN-HLN005
Hegang City>>,<<鹤岗>>,<<CHN-HLN006
Jixi City>>,<<鸡西>>,<<CHN-HLN007
Qigihar City>>,<<齐齐哈尔>>,<<CHN-HLN008
Suihua City>>,<<绥化>>,<<CHN-HLN009
Greater Khingan Range region>>,<<大兴安岭>>,<<CHN-HLN010
Shuangyashan City>>,<<双鸭山>>,<<CHN-HLN011
Jiamusi City>>,<<佳木斯>>,<<CHN-HLN012
Mudanjiang City>>,<<牡丹江>>,<<CHN-HLN013
Shennongjia>>,<<神农架>>,<<CHN-HUB000
Xiaogan City>>,<<孝感>>,<<CHN-HUB001
Wuhan City>>,<<武汉>>,<<CHN-HUB002
Xiantao>>,<<仙桃>>,<<CHN-HUB003
Jingzhou City>>,<<荆州>>,<<CHN-HUB004
Jingmen City>>,<<荆门>>,<<CHN-HUB005
Tianmen>>,<<天门>>,<<CHN-HUB006
Enshi Tujia and Miao Autonomous Prefecture>>,<<恩施土家族苗族自治州>>,<<CHN-HUB007
Xiangyang City>>,<<襄阳>>,<<CHN-HUB008
Huanggang City>>,<<黄冈>>,<<CHN-HUB009
Ezhou City>>,<<鄂州>>,<<CHN-HUB010
Shiyan City>>,<<十堰>>,<<CHN-HUB011
Yichang City>>,<<宜昌>>,<<CHN-HUB012
Xianning City>>,<<咸宁>>,<<CHN-HUB013
Suizhou City>>,<<随州>>,<<CHN-HUB014
Huangshi City>>,<<黄石>>,<<CHN-HUB015
Qianjiang City>>,<<潜江>>,<<CHN-HUB016
Yueyang City>>,<<岳阳>>,<<CHN-HUN001
Hengyang City>>,<<衡阳>>,<<CHN-HUN002
Huaihua City>>,<<怀化>>,<<CHN-HUN003
Xiangtan City>>,<<湘潭>>,<<CHN-HUN004
Zhuzhou City>>,<<株洲>>,<<CHN-HUN005
Shaoyang City>>,<<邵阳>>,<<CHN-HUN006
Chenzhou City>>,<<郴州>>,<<CHN-HUN007
Loudi City>>,<<娄底>>,<<CHN-HUN008
Xiangxi Tujia and Miao Autonomous Prefecture>>,<<湘西土家族苗族自治州>>,<<CHN-HUN009
Zhangjiajie City>>,<<张家界>>,<<CHN-HUN010
Yongzhou City>>,<<永州>>,<<CHN-HUN011
Yiyang City>>,<<益阳>>,<<CHN-HUN012
Changde City>>,<<常德>>,<<CHN-HUN013
Changsha City>>,<<长沙>>,<<CHN-HUN014
Tonghua City>>,<<通化>>,<<CHN-JIL001
Siping City>>,<<四平>>,<<CHN-JIL002
Changchun City>>,<<长春>>,<<CHN-JIL003
Baishan City>>,<<白山>>,<<CHN-JIL004
Liaoyuan City>>,<<辽源>>,<<CHN-JIL005
Yanbian Korean Autonomous Prefecture>>,<<延边朝鲜族自治州>>,<<CHN-JIL006
Songyuan City>>,<<松原>>,<<CHN-JIL007
Baicheng City>>,<<白城>>,<<CHN-JIL008
Jilin City>>,<<吉林>>,<<CHN-JIL009
Ganzhou City>>,<<赣州>>,<<CHN-JNG001
Nanchang City>>,<<南昌>>,<<CHN-JNG002
Yingtan City>>,<<鹰潭>>,<<CHN-JNG003
Pingxiang City>>,<<萍乡>>,<<CHN-JNG004
Xinyu City>>,<<新余>>,<<CHN-JNG005
Shangrao City>>,<<上饶>>,<<CHN-JNG006
Ji'an City>>,<<吉安>>,<<CHN-JNG007
Jiujiang>>,<<九江>>,<<CHN-JNG008
Yichun City>>,<<宜春>>,<<CHN-JNG009
Jingdezhen City>>,<<景德镇>>,<<CHN-JNG010
Fuzhou City>>,<<抚州>>,<<CHN-JNG011
Wuxi City>>,<<无锡>>,<<CHN-JNS001
Xuzhou City>>,<<徐州>>,<<CHN-JNS002
Taizhou City>>,<<泰州>>,<<CHN-JNS003
Yangzhou City>>,<<扬州>>,<<CHN-JNS004
Nantong City>>,<<南通>>,<<CHN-JNS005
Lianyungang City>>,<<连云港>>,<<CHN-JNS006
Huaian City>>,<<淮安>>,<<CHN-JNS007
Zhenjiang City>>,<<镇江>>,<<CHN-JNS008
Suqian City>>,<<宿迁>>,<<CHN-JNS009
Changzhou City>>,<<常州>>,<<CHN-JNS010
Yancheng City>>,<<盐城>>,<<CHN-JNS011
Nanjing City>>,<<南京>>,<<CHN-JNS012
Suzhou City>>,<<苏州>>,<<CHN-JNS013
Anshan City>>,<<鞍山>>,<<CHN-LNN001
Liaoyang City>>,<<辽阳>>,<<CHN-LNN002
Jinzhou City>>,<<锦州>>,<<CHN-LNN003
Tieling City>>,<<铁岭>>,<<CHN-LNN004
Huludao City>>,<<葫芦岛>>,<<CHN-LNN005
Dandong City>>,<<丹东>>,<<CHN-LNN006
Benxi City>>,<<本溪>>,<<CHN-LNN007
Yingkou City>>,<<营口>>,<<CHN-LNN008
Panjin City>>,<<盘锦>>,<<CHN-LNN009
Fushun City>>,<<抚顺>>,<<CHN-LNN010
Chaoyang City>>,<<朝阳>>,<<CHN-LNN011
Dalian City>>,<<大连>>,<<CHN-LNN012
Shenyang City>>,<<沈阳>>,<<CHN-LNN013
Fuxin City>>,<<阜新>>,<<CHN-LNN014
Chifeng City>>,<<赤峰>>,<<CHN-NMN001
Bayannaoer City>>,<<巴彦淖尔>>,<<CHN-NMN002
Hohhot City>>,<<呼和浩特>>,<<CHN-NMN003
Xilinguole Meng>>,<<锡林郭勒盟>>,<<CHN-NMN004
Wulanchabu City>>,<<乌兰察布>>,<<CHN-NMN005
Alashan>>,<<阿拉善盟>>,<<CHN-NMN006
Baotou City>>,<<包头>>,<<CHN-NMN007
Ordos City>>,<<鄂尔多斯>>,<<CHN-NMN008
Wuhai City>>,<<乌海>>,<<CHN-NMN009
Hulun Buir City>>,<<呼伦贝尔>>,<<CHN-NMN010
Xingan Meng>>,<<兴安盟>>,<<CHN-NMN011
Tongliao City>>,<<通辽>>,<<CHN-NMN012
Zhongwei City>>,<<中卫>>,<<CHN-NNG001
Shizuishan City>>,<<石嘴山>>,<<CHN-NNG002
Guyuan City>>,<<固原>>,<<CHN-NNG003
Wu Zhongshi>>,<<吴忠>>,<<CHN-NNG004
Yinchuan City>>,<<银川>>,<<CHN-NNG005
Hainan Tibetan Autonomous Prefecture>>,<<海南藏族自治州>>,<<CHN-QNG001
Haixi Mongolia Tibetan Autonomous Prefecture>>,<<海西蒙古族藏族自治州>>,<<CHN-QNG002
Xining City>>,<<西宁>>,<<CHN-QNG003
Huangnan Tibetan Autonomous Prefecture>>,<<黄南藏族自治州>>,<<CHN-QNG004
Haibei Tibetan Autonomous Prefecture>>,<<海北藏族自治州>>,<<CHN-QNG005
Golog Tibetan Autonomous Prefecture>>,<<果洛藏族自治州>>,<<CHN-QNG006
Haidong Prefecture>>,<<海东>>,<<CHN-QNG007
Yushu Tibetan Autonomous Prefecture>>,<<玉树藏族自治州>>,<<CHN-QNG008
Luzhou City>>,<<泸州>>,<<CHN-SCH002
Panzhihua City>>,<<攀枝花>>,<<CHN-SCH003
Neijiang City>>,<<内江>>,<<CHN-SCH004
Aba Tibetan and Qiang Autonomous Prefecture>>,<<阿坝藏族羌族自治州>>,<<CHN-SCH005
Zigong City>>,<<自贡>>,<<CHN-SCH006
Ziyang City>>,<<资阳>>,<<CHN-SCH007
Deyang City>>,<<德阳>>,<<CHN-SCH008
Liangshan Yi Autonomous Prefecture>>,<<凉山彝族自治州>>,<<CHN-SCH009
Yibin City>>,<<宜宾>>,<<CHN-SCH010
Mianyang City>>,<<绵阳>>,<<CHN-SCH011
Ganzi Tibetan Autonomous Prefecture>>,<<甘孜藏族自治州>>,<<CHN-SCH012
Suining City>>,<<遂宁>>,<<CHN-SCH013
Bazhong City>>,<<巴中>>,<<CHN-SCH014
Ya'an City>>,<<雅安>>,<<CHN-SCH015
Nanchong City>>,<<南充>>,<<CHN-SCH016
Guang'an City>>,<<广安>>,<<CHN-SCH017
Guangyuan City>>,<<广元>>,<<CHN-SCH018
Meishan City>>,<<眉山>>,<<CHN-SCH019
Chengdu City>>,<<成都>>,<<CHN-SCH020
Leshan City>>,<<乐山>>,<<CHN-SCH021
Dazhou City>>,<<达州>>,<<CHN-SCH022
Xianyang City>>,<<咸阳>>,<<CHN-SHA001
Hanzhoung City>>,<<汉中>>,<<CHN-SHA002
Xi'an City>>,<<西安>>,<<CHN-SHA003
Weinan City>>,<<渭南>>,<<CHN-SHA004
Baoji City>>,<<宝鸡>>,<<CHN-SHA005
Yanan City>>,<<延安>>,<<CHN-SHA006
Shangluo City>>,<<商洛>>,<<CHN-SHA007
Ankang City>>,<<安康>>,<<CHN-SHA008
Tongchuan City>>,<<铜川>>,<<CHN-SHA009
Yulin City>>,<<榆林>>,<<CHN-SHA010
Yangling Demonstration Zone>>,<<杨凌示范区>>,<<CHN-SHA011
Yantai City>>,<<烟台>>,<<CHN-SHD001
Zaozhuang City>>,<<枣庄>>,<<CHN-SHD002
Zibo City>>,<<淄博>>,<<CHN-SHD003
Jining City>>,<<济宁>>,<<CHN-SHD004
Weihai City>>,<<威海>>,<<CHN-SHD005
Binzhou City>>,<<滨州>>,<<CHN-SHD006
Liaocheng City>>,<<聊城>>,<<CHN-SHD007
Weifang City>>,<<潍坊>>,<<CHN-SHD008
Dezhou City>>,<<德州>>,<<CHN-SHD009
Qingdao City>>,<<青岛>>,<<CHN-SHD010
Ji'nan City>>,<<济南>>,<<CHN-SHD011
Dongying City>>,<<东营>>,<<CHN-SHD012
Tai'an City>>,<<泰安>>,<<CHN-SHD013
Linyi City>>,<<临沂>>,<<CHN-SHD014
Laiwu City>>,<<莱芜>>,<<CHN-SHD015
Rizhao City>>,<<日照>>,<<CHN-SHD016
Heze City>>,<<菏泽>>,<<CHN-SHD017
Shanghai City>>,<<上海>>,<<CHN-SHN001
Lvliang City>>,<<吕梁>>,<<CHN-SHX001
Jincheng City>>,<<晋城>>,<<CHN-SHX002
Yangquan City>>,<<阳泉>>,<<CHN-SHX003
Jinzhong City>>,<<晋中>>,<<CHN-SHX004
Changzhi City>>,<<长治>>,<<CHN-SHX005
Datong>>,<<大同>>,<<CHN-SHX006
Shuozhou City>>,<<朔州>>,<<CHN-SHX007
Taiyuan City>>,<<太原>>,<<CHN-SHX008
Linfen City>>,<<临汾>>,<<CHN-SHX009
Xinzhou City>>,<<忻州>>,<<CHN-SHX010
Yuncheng City>>,<<运城>>,<<CHN-SHX011
Tianjin City>>,<<天津>>,<<CHN-TNJ001
Akesu region>>,<<阿克苏地区>>,<<CHN-XNJ001
Kirgiz Autonomous>>,<<克孜勒苏柯尔克孜自治州>>,<<CHN-XNJ002
Kashi region>>,<<喀什地区>>,<<CHN-XNJ003
Hami City>>,<<哈密>>,<<CHN-XNJ004
Wujiaqu City>>,<<五家渠>>,<<CHN-XNJ005
Shihezi City>>,<<石河子>>,<<CHN-XNJ006
Mongolia Autonomous Prefecture of Bayinguoleng>>,<<巴音郭楞蒙古自治州>>,<<CHN-XNJ007
Alar City>>,<<阿拉尔>>,<<CHN-XNJ008
Tumushuke City>>,<<图木舒克>>,<<CHN-XNJ009
Aletai region>>,<<阿勒泰地区>>,<<CHN-XNJ010
Changji Hui Autonomous Prefecture>>,<<昌吉回族自治州>>,<<CHN-XNJ011
Urumqi City>>,<<乌鲁木齐>>,<<CHN-XNJ012
And Tian>>,<<和田地区>>,<<CHN-XNJ013
Tacheng region>>,<<塔城地区>>,<<CHN-XNJ014
Yili Kazak Autonomous Prefecture>>,<<伊犁哈萨克自治州(直辖地区)>>,<<CHN-XNJ015
Turpan City>>,<<吐鲁番>>,<<CHN-XNJ016
Mongolia Autonomous Prefecture of Bortala>>,<<博尔塔拉蒙古自治州>>,<<CHN-XNJ017
Karamay City>>,<<克拉玛依>>,<<CHN-XNJ018
Ali Region>>,<<阿里>>,<<CHN-XZN001
Shannan>>,<<山南>>,<<CHN-XZN002
Linzhi region>>,<<林芝>>,<<CHN-XZN003
Changdu region>>,<<昌都>>,<<CHN-XZN004
Naqu>>,<<那曲>>,<<CHN-XZN005
Shigatse region>>,<<日喀则>>,<<CHN-XZN006
Lhasa City>>,<<拉萨>>,<<CHN-XZN007
Lincang>>,<<临沧>>,<<CHN-YNN001
Xishuangbanna>>,<<西双版纳>>,<<CHN-YNN002
Zhaotong City>>,<<昭通>>,<<CHN-YNN003
Nujiang>>,<<怒江傈僳族自治州>>,<<CHN-YNN004
Yuxi City>>,<<玉溪>>,<<CHN-YNN005
Kunming City>>,<<昆明>>,<<CHN-YNN006
Pu'er City>>,<<普洱>>,<<CHN-YNN007
Baoshan City>>,<<保山>>,<<CHN-YNN008
Qujing City>>,<<曲靖>>,<<CHN-YNN009
Chuxiong City>>,<<楚雄>>,<<CHN-YNN010
Honghe Prefecture>>,<<红河哈尼族彝族自治州>>,<<CHN-YNN011
Di Qingzhou>>,<<迪庆藏族自治州>>,<<CHN-YNN012
Wen Shanzhou>>,<<文山壮族苗族自治州>>,<<CHN-YNN013
Lijiang City>>,<<丽江>>,<<CHN-YNN014
Dali City>>,<<大理>>,<<CHN-YNN015
De Hongzhou>>,<<德宏傣族景颇族自治州>>,<<CHN-YNN016
Jiaxing City>>,<<嘉兴>>,<<CHN-ZHJ001
Taizhou City>>,<<台州>>,<<CHN-ZHJ002
Jinhua City>>,<<金华>>,<<CHN-ZHJ003
Wenzhou City>>,<<温州>>,<<CHN-ZHJ004
Huzhou City>>,<<湖州>>,<<CHN-ZHJ005
Shaoxing City>>,<<绍兴>>,<<CHN-ZHJ006
Zhoushan City>>,<<舟山>>,<<CHN-ZHJ007
Quzhou City>>,<<衢州>>,<<CHN-ZHJ008
Ningbo City>>,<<宁波>>,<<CHN-ZHJ009
Lishui City>>,<<丽水>>,<<CHN-ZHJ010
Hangzhou City>>,<<杭州>>,<<CHN-ZHJ011
Chongqing>>,<<重庆>>,<<CHN-CHQ001
Keelung City>>,<<基隆市>>,<<CHN-TWN001
Yilan County>>,<<宜兰县>>,<<CHN-TWN002
Changhua County>>,<<彰化县>>,<<CHN-TWN003
Nantou County>>,<<南投县>>,<<CHN-TWN004
Tainan City>>,<<台南市>>,<<CHN-TWN005
Kaohsiung City>>,<<高雄市>>,<<CHN-TWN006
Taichung City>>,<<台中市>>,<<CHN-TWN007
Taoyuan City>>,<<桃园市>>,<<CHN-TWN008
Miaoli County>>,<<苗栗县>>,<<CHN-TWN009
Hsinchu County>>,<<新竹县>>,<<CHN-TWN010
Taitung County>>,<<台东县>>,<<CHN-TWN011
Taipei City>>,<<台北市>>,<<CHN-TWN012
New Taipei City>>,<<新北市>>,<<CHN-TWN013
Hsinchu City>>,<<新竹市>>,<<CHN-TWN014
Pingtung County>>,<<屏东县>>,<<CHN-TWN015
Yulin County>>,<<云林县>>,<<CHN-TWN016
Penghu County>>,<<澎湖县>>,<<CHN-TWN017
Kinmen County>>,<<金门县>>,<<CHN-TWN018
Chiayi County>>,<<嘉义县>>,<<CHN-TWN019
Hualien County>>,<<花莲县>>,<<CHN-TWN020
Lienkiang County>>,<<连江县>>,<<CHN-TWN021
Chiayi City>>,<<嘉义市>>,<<CHN-TWN022
Diaoyu Island>>,<<钓鱼岛>>,<<CHN-TWN023
HongKong>>,<<香港>>,<<CHN-HKG001
Macau>>,<<澳门>>,<<CHN-MAC001
Polk>>,<<Polk>>,<<USA-TEX373
Bradley>>,<<Bradley>>,<<USA-ARK011
Emanuel>>,<<Emanuel>>,<<USA-GEO107
Pecos>>,<<Pecos>>,<<USA-TEX371
Evans>>,<<Evans>>,<<USA-GEO109
Carroll>>,<<Carroll>>,<<USA-ARK015
Presidio>>,<<Presidio>>,<<USA-TEX377
East Baton Rouge>>,<<East Baton Rouge>>,<<USA-LOU033
Effingham>>,<<Effingham>>,<<USA-GEO103
Calhoun>>,<<Calhoun>>,<<USA-ARK013
Potter>>,<<Potter>>,<<USA-TEX375
Elbert>>,<<Elbert>>,<<USA-GEO105
De Soto>>,<<De Soto>>,<<USA-LOU031
Clark>>,<<Clark>>,<<USA-ARK019
East Feliciana>>,<<East Feliciana>>,<<USA-LOU037
Rains>>,<<Rains>>,<<USA-TEX379
Chicot>>,<<Chicot>>,<<USA-ARK017
East Carroll>>,<<East Carroll>>,<<USA-LOU035
Echols>>,<<Echols>>,<<USA-GEO101
Evangeline>>,<<Evangeline>>,<<USA-LOU039
Randall>>,<<Randall>>,<<USA-TEX381
Franklin>>,<<Franklin>>,<<USA-GEO119
Reagan>>,<<Reagan>>,<<USA-TEX383
Forsyth>>,<<Forsyth>>,<<USA-GEO117
Arkansas>>,<<Arkansas>>,<<USA-ARK001
Real>>,<<Real>>,<<USA-TEX385
Franklin>>,<<Franklin>>,<<USA-LOU041
Floyd>>,<<Floyd>>,<<USA-GEO115
Ashley>>,<<Ashley>>,<<USA-ARK003
Red River>>,<<Red River>>,<<USA-TEX387
Grant>>,<<Grant>>,<<USA-LOU043
Fayette>>,<<Fayette>>,<<USA-GEO113
Reeves>>,<<Reeves>>,<<USA-TEX389
Baxter>>,<<Baxter>>,<<USA-ARK005
Fannin>>,<<Fannin>>,<<USA-GEO111
Iberia>>,<<Iberia>>,<<USA-LOU045
Benton>>,<<Benton>>,<<USA-ARK007
Iberville>>,<<Iberville>>,<<USA-LOU047
Boone>>,<<Boone>>,<<USA-ARK009
Jackson>>,<<Jackson>>,<<USA-LOU049
Refugio>>,<<Refugio>>,<<USA-TEX391
Nueces>>,<<Nueces>>,<<USA-TEX355
Cross>>,<<Cross>>,<<USA-ARK037
Glascock>>,<<Glascock>>,<<USA-GEO125
Beauregard>>,<<Beauregard>>,<<USA-LOU011
Nolan>>,<<Nolan>>,<<USA-TEX353
Crittenden>>,<<Crittenden>>,<<USA-ARK035
Glynn>>,<<Glynn>>,<<USA-GEO127
Crawford>>,<<Crawford>>,<<USA-ARK033
Newton>>,<<Newton>>,<<USA-TEX351
Gordon>>,<<Gordon>>,<<USA-GEO129
Craighead>>,<<Craighead>>,<<USA-ARK031
Calcasieu>>,<<Calcasieu>>,<<USA-LOU019
Caddo>>,<<Caddo>>,<<USA-LOU017
Oldham>>,<<Oldham>>,<<USA-TEX359
Bossier>>,<<Bossier>>,<<USA-LOU015
Fulton>>,<<Fulton>>,<<USA-GEO121
Dallas>>,<<Dallas>>,<<USA-ARK039
Ochiltree>>,<<Ochiltree>>,<<USA-TEX357
Bienville>>,<<Bienville>>,<<USA-LOU013
Gilmer>>,<<Gilmer>>,<<USA-GEO123
Windham>>,<<Windham>>,<<USA-CNN015
Tolland>>,<<Tolland>>,<<USA-CNN013
Desha>>,<<Desha>>,<<USA-ARK041
Habersham>>,<<Habersham>>,<<USA-GEO137
Cleveland>>,<<Cleveland>>,<<USA-ARK025
Panola>>,<<Panola>>,<<USA-TEX365
Caldwell>>,<<Caldwell>>,<<USA-LOU021
Gwinnett>>,<<Gwinnett>>,<<USA-GEO135
Columbia>>,<<Columbia>>,<<USA-ARK027
Parker>>,<<Parker>>,<<USA-TEX367
Clay>>,<<Clay>>,<<USA-ARK021
Orange>>,<<Orange>>,<<USA-TEX361
Hall>>,<<Hall>>,<<USA-GEO139
Cleburne>>,<<Cleburne>>,<<USA-ARK023
Palo Pinto>>,<<Palo Pinto>>,<<USA-TEX363
Claiborne>>,<<Claiborne>>,<<USA-LOU027
Concordia>>,<<Concordia>>,<<USA-LOU029
Cameron>>,<<Cameron>>,<<USA-LOU023
Greene>>,<<Greene>>,<<USA-GEO133
Conway>>,<<Conway>>,<<USA-ARK029
Parmer>>,<<Parmer>>,<<USA-TEX369
Grady>>,<<Grady>>,<<USA-GEO131
Catahoula>>,<<Catahoula>>,<<USA-LOU025
New London>>,<<New London>>,<<USA-CNN011
Hartford>>,<<Hartford>>,<<USA-CNN003
